Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category
Avocado_var2,1/2 large,108,185,2,18,12,1.8,6,Fruits A-F
Banana_var2,1 med.,150,85,1,t,0,0.9,23,Fruits A-F
Blackberries_var2,1 cup,144,85,2,1,0,6.6,19,Fruits A-F
Blueberries_var2,1 cup,250,245,1,t,0,2,65,Fruits A-F
Cantaloupe_var2,1/2 med.,380,40,1,t,0,2.2,9,Fruits A-F
Cherries_var2,1 cup,257,100,2,1,0,2,26,Fruits A-F
"Fresh, raw_var2",1 cup,114,65,1,t,0,0.8,15,Fruits A-F
Cranberry sauce sweetened_var2,1 cup,277,530,t,t,0,1.2,142,Fruits A-F
Dates_var2,1 cup,178,505,4,t,0,3.6,134,Fruits A-F
Figs_var2,2,42,120,2,t,0,1.9,30,Fruits A-F
"Fresh, raw figs_var2",3 med.,114,90,2,t,0,1,22,Fruits A-F
figs Canned with syrup _var2,3,115,130,1,t,0,1,32,Fruits A-F
"Fruit cocktail, canned_var2",1 cup,256,195,1,t,0,0.5,50,Fruits A-F
Grapefruit sections_var2,1 cup,250,170,1,t,0,0.5,44,Fruits G-P
"Grapefruit, fresh, 5"" diameter_var2",01-Feb,285,50,1,t,t,1,14,Fruits G-P
Grapefruit juice_var2,1 cup,250,100,1,t,0,1,24,Fruits G-P
Grapes_var2,1 cup,153,70,1,t,0,0.8,16,Fruits G-P
"European, as Muscat, Tokay_var2",1 cup,160,100,1,t,0,0.7,26,Fruits G-P
Grape juice_var2,1 cup,250,160,1,t,0,t,42,Fruits G-P
Lemon juice_var2,1/2 cup,125,30,t,t,0,t,10,Fruits G-P
Lemonade concentratefrozen_var2,6-oz. can,220,430,t,t,0,t,112,Fruits G-P
Limeade concentrate frozen_var2,6-oz. can,218,405,t,t,0,t,108,Fruits G-P
Olives large_var2,10,65,72,1,10,9,0.8,3,Fruits G-P
OlivesRipe_var2,10,65,105,1,13,12,1,1,Fruits G-P
"Oranges 3"" diameter_var2",1 med.,180,60,2,t,t,1,16,Fruits G-P
Orange juice_var2,8 oz. or,250,112,2,t,0,0.2,25,Fruits G-P
Frozen _var2,6-oz. can,210,330,2,t,t,0.4,78,Fruits G-P
Papaya_var2,1/2 med.,200,75,1,t,0,1.8,18,Fruits G-P
Peaches_var2,1 cup,257,200,1,t,0,1,52,Fruits G-P
"Fresh, raw_var2",1 med.,114,35,1,t,0,0.6,10,Fruits G-P
Pears_var2,1 cup,255,195,1,t,0,2,50,Fruits G-P
"Raw, 3 by 2V_var2",1 med.,182,100,1,1,0,2,25,Fruits G-P
Persimmons_var2,1 med.,125,75,1,t,0,2,20,Fruits G-P
Pineapple_var2,1 large slice,122,95,t,t,0,0.4,26,Fruits G-P
Pineapple Crushed_var2,1 cup,260,205,1,t,0,0.7,55,Fruits G-P
"Raw, diced_var2",1 cup,140,75,1,t',0,0.6,19,Fruits G-P
